,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Table 87 Coal Oven Pizza,40.6561793,-74.00797374,2021-1224,2021,4.00,$4.00,Plain
,Brothers pizza shop,40.86726,-73.89639,2021-1221,2021,2.50,$2.50,Plain
,Tony Gs Pizza,40.86708,-73.89603,2021-1221,2021,3.00,$3.00,Plain
,D'Angelo's Pizzeria,40.7340393,-73.8497391,2021-1218,2021,3.25,$3.25,Plain
,Euro Pizza,40.55962148,-74.1682369,2021-1216,2021,3.50,$3.50,Plain
,PG Pizza,40.83381,-73.91519,2021-1211,2021,3.00,$3.00,Plain
,Upside Pizza,40.7550912,-73.9911494,2021-1209,2021,3.50,$3.50,Plain
,Koronet Pizzeria,40.80447,-73.96616,2021-1204,2021,5.50,$5.50,Jumbo
,Slice of Harlem Pizzeria,40.81668,-73.946594,2021-1203,2021,3.25,$3.25,Plain
,Lennys Pizza,40.65099,-73.94882,2021-1120,2021,2.50,$2.50,Plain
,Royal Pizzeria Restaurant Inc,40.6550694,-73.8877085,2021-1120,2021,3.00,$3.00,Plain
,Joe's Pizza & Pasta,40.76016292,-73.73149091,2021-1119,2021,3.00,$3.00,Plain
,Pizza Place,40.8890631,-73.859549,2021-1118,2021,3.25,$3.25,Plain
,Pizza Place,40.889035,-73.859444,2021-1118,2021,3.25,$3.25,Plain
,Angies Cafe & Pizza,40.81153,-73.92707,2021-1106,2021,2.75,$2.75,Plain
,Pizza Amore,40.6505369,-73.70169729999999,2021-1105,2021,3.00,$3.00,Plain
,Landy's Pizzeria,40.61735,-74.02738,2021-1030,2021,3.00,$3.00,Plain
,La Sorrentina Restaurant,40.57845,-73.84928,2021-1030,2021,3.00,$3.00,Plain
,Pizza D'Amore,40.61475744,-73.91270424,2021-1024,2021,2.75,$2.75,Plain
,Tigre's Pizza,40.84464,-73.9073,2021-1023,2021,2.50,$2.50,Plain
,Frank's Bay Pizza,40.62484,-74.07934,2021-1022,2021,2.50,$2.50,Plain
,La Bona Pizza & Pasta,40.6737,-73.88283,2021-1016,2021,2.75,$2.75,Plain
,PG Pizza,40.82622,-73.917751,2021-1015,2021,2.75,$2.75,Plain
,Mario's Pizza,40.65763,-73.76724,2021-1009,2021,3.00,$3.00,Plain
,Margherita Pizza Inc.,40.70453082,-73.79679273,2021-1008,2021,3.50,$3.50,Plain
,Tony's Pizza,40.66485,-73.92329,2021-1003,2021,2.75,$2.75,Plain
,Pronto Pizza,40.75824,-73.98063,2021-0922,2021,4.50,$4.50,Pepperoni
,Artichoke Basille’s Pizza - Times Square,40.75332,-73.98698,2021-0921,2021,6.53,$6.53,Pepperoni
,Bambinos Express,40.7020409,-73.9066829,2021-0828,2021,2.50,$2.50,Plain
,620 On Caton Pizzeria ,40.64755,-73.97392,2021-0828,2021,3.00,$3.00,Plain
,Champion Pizza,40.73602,-73.99404,2021-0816,2021,4.25,$4.25,Pepperoni
,Belmora Pizza & Restaurant,40.76095,-73.96879,2021-0811,2021,3.20,$3.20,Plain
,Sunset Park Pizza,40.64547,-73.99539,2021-0809,2021,2.00,$2.00,Plain
,Giovanni S Pizza,40.83522,-73.92016,2021-0802,2021,2.00,$2.00,Plain
,Slice Joint,40.71821,-73.98815,2021-0730,2021,4.36,$4.36,Pepperoni
,Sacco Pizza,40.76623,-73.98717,2021-0726,2021,2.50,$2.50,Plain
,Gino's of Broadway,40.75757009,-73.91588521,2021-0724,2021,2.75,$2.75,Plain
,Two Boots Pizza,40.73308,-74.00277,2021-0717,2021,4.00,$4.00,Pepperoni
,Marinara Pizza,40.74241,-73.98452,2021-0713,2021,4.36,$4.36,Pepperoni
,Casabianca Family Italian Ristorante & Pizzeria,40.76944,-73.9889,2021-0709,2021,3.00,$3.00,Plain
,Hank's Pizza,40.7094362,-74.01202529999999,2021-0707,2021,4.35,$4.35,Plain
,Hank's Pizza,40.7094362,-74.01202529999999,2021-0707,2021,3.25,$3.25,Plain
,Enzo & Claudio,40.7462825,-73.99367339999999,2021-0627,2021,3.27,$3.27,Plain
,Joe's Pizza,40.71687,-73.95892,2021-0626,2021,3.00,$3.00,Plain
,Pizza Prince,40.7237277,-73.9504086,2021-0617,2021,3.00,$3.00,Plain
,Vito's Slices and Pizza,40.7545,-73.9952799,2021-0616,2021,3.00,$3.00,Plain
,Papa John's Pizza,40.69173293,-73.98637801,2021-0614,2021,1.00,$1.00,Plain
,Wegmans,40.6982082,-73.9770145,2021-0527,2021,3.81,$3.81,Pepperoni
,Pizza Market,40.746467,-73.990096,2021-0521,2021,1.00,$1.00,Plain
,Zazzy's Pizza,40.7365892,-74.0013125,2021-0514,2021,3.27,$3.27,Plain
,Michelangelo's Pizza,40.63087,-74.12967,2021-0511,2021,2.50,$2.50,Plain
,Gino's Cucina Brick Oven Pizza,40.67522,-73.9631,2021-0511,2021,3.00,$3.00,Plain
,Julie's Pizzeria & Restaurant,40.70416,-73.9073,2021-0417,2021,2.00,$2.00,Plain
,Burrata Pizza,40.73021,-73.98069,2021-0416,2021,4.00,$4.00,Pepperoni
,Via Ponte Pizzeria,40.5980108,-74.0669935,2021-0409,2021,2.75,$2.75,Plain
,11B Express,40.727429,-73.979695,2021-0403,2021,3.00,$3.00,Plain
,NY 99¢ Fresh Pizza,40.7332919,-74.0028356,2021-0403,2021,1.00,$1.00,Plain
,Norm’s Pizza,40.6931218,-73.9889093,2021-0315,2021,3.00,$3.00,Plain
,Pier 76,40.64015042,-74.0757603,2021-0304,2021,3.81,$3.81,Sicilian
,Danny's Pizzeria,40.7220677,-73.9042865,2021-0208,2021,2.75,$2.75,Plain
,San Remo's Pizza,40.64081,-73.96493,2021-0128,2021,3.00,$3.00,Plain
,Antonio's Pizzeria & Cafe,40.69294,-73.99097,2021-0125,2021,3.00,$3.00,Plain
,Barcklay's Pizza and Pasta,40.6827637,-73.96433830000001,2021-0122,2021,2.50,$2.50,Plain
,Prima Pizza & Pasta,40.7282673,-73.7358585,2021-0118,2021,2.75,$2.75,Plain
,Baker's Pizza,40.7294399,-73.98125,2021-0116,2021,3.25,$3.25,Plain
,Monty Q's Pizza,40.6943,-73.99294,2021-0104,2021,4.00,$4.00,Pepperoni
,Tony's Pizzeria,40.637601,-73.919525,2020-1223,2020,2.50,$2.50,Plain
,Piz-zetta Pizzeria Brooklyn Heights,40.69122,-73.99062,2020-1208,2020,3.50,$3.50,Pepperoni
,Pronto Pizza,40.6894599,-73.99233,2020-1129,2020,2.50,$2.50,Plain
,99¢ Fresh Pizza & Hot Dog,40.72694509999999,-73.98311679999999,2020-1126,2020,1.00,$1.00,Plain
,La Mia Pizzeria & Restaurant,40.7330887,-73.9902141,2020-1123,2020,2.75,$2.75,Plain
,Sam's Pizza,40.87939,-73.90601,2020-1110,2020,3.00,$3.00,Plain
,Pizza2Go,40.80486,-73.93816,2020-1110,2020,1.00,$1.00,Plain
,My Little Pizzeria,40.69022,-73.99227,2020-1021,2020,3.00,$3.00,Pepperoni
,Luv-N-Oven Pizzeria,40.68969,-73.97758,2020-1019,2020,3.75,$3.75,Pepperoni
,Italian Affair,40.72201222,-73.73004226,2020-1010,2020,2.25,$2.25,Plain
,P & M Pizza & Restaurant,40.82618,-73.9467,2020-0928,2020,2.50,$2.50,Plain
,Wholesome Garden Pizza,40.82611648,-73.95094532,2020-0918,2020,2.50,$2.50,Plain
,Joe's Pizzeria,40.65863,-73.98171,2020-0912,2020,2.75,$2.75,Plain
,Pizza Central of Brooklyn,40.63114,-73.97703,2020-0908,2020,2.75,$2.75,Plain
,Pizza D'Amore,40.5801496,-73.8370727,2020-0908,2020,4.50,$4.50,Pepperoni
,A & S Pizzeria,40.64401,-74.0776,2020-0901,2020,2.00,$2.00,Plain
,Ciros Pizza 116st,40.57914,-73.83702,2020-0820,2020,2.75,$2.75,Plain
,Woodhaven Cafe Pizzeria,40.680109,-73.844141,2020-0814,2020,1.00,$1.00,Plain
,Cheeze Louiez,40.701064,-73.94123,2020-0803,2020,2.75,$2.75,Plain
,Gino's Pizza Farockaway Queens NY,40.60337636,-73.75302557,2020-0803,2020,2.50,$2.50,Plain
,JM Pizza,40.596594,-73.754904,2020-0803,2020,2.50,$2.50,Plain
,Elegante,40.58619,-73.81542,2020-0729,2020,3.00,$3.00,Plain
,Family Pizza,40.65585,-73.96008,2020-0726,2020,2.75,$2.75,Plain
,Famous NY Pizza,40.6377231,-74.0873695,2020-0723,2020,2.00,$2.00,Plain
,Beach Channel Pizza,40.597955,-73.766132,2020-0709,2020,2.25,$2.25,Plain
,Star 99¢ Pizza,40.71807,-73.98586,2020-0707,2020,1.00,$1.00,Plain
,Pizza D'Amore,40.5801496,-73.8370727,2020-0703,2020,2.50,$2.50,Plain
,Joe's Pizza By The Sea,40.5875839,-73.8127052,2020-0624,2020,2.50,$2.50,Plain
,Joe & Sal's Pizza Fort Greene,40.69332939,-73.97220254,2020-0414,2020,2.75,$2.75,Plain
,Marios Chicken Pizza & Grill,40.6027254,-73.7503447,2020-0330,2020,2.00,$2.00,Plain
,Pizza plus & the margarita bar,40.7016926,-74.01290658,2020-0208,2020,4.40,$4.40,Pepperoni
,Pizza's San Miguel,40.63886,-73.96888,2020-0111,2020,2.00,$2.00,Plain
,Tommy's Pizza,40.68616,-73.82553,2019-1111,2019,3.00,$3.00,Plain
,Big Daddy's Pizza,40.67435,-74.0071,2019-1026,2019,2.00,$2.00,Plain
,Bella Pizza Inc,40.70684,-73.78983,2019-1019,2019,2.00,$2.00,Plain
,Tipsy Tomato Pizzeria,40.680199,-73.845768,2019-1011,2019,2.75,$2.75,Plain
,Unique Bazaar Jamaica NY,40.70373,-73.79706,2019-0928,2019,1.50,$1.50,Plain
,Margherita Pizza Inc,40.70453082,-73.79679273,2019-0928,2019,3.25,$3.25,Plain
,Harbor Pizzeria,40.7183175,-73.8727355,2019-0913,2019,2.75,$2.75,Plain
,Slice of Brooklyn,40.65691,-74.00143,2019-0807,2019,2.25,$2.25,Plain
,Best Pizza Williamsburg,40.71561,-73.95352,2019-0721,2019,4.25,$4.25,White
,Ciros Pizza,40.57914,-73.83702,2019-0719,2019,2.75,$2.75,Plain
,99c Fresh Pizza,40.7518124,-73.9743737,2019-0611,2019,1.00,$1.00,Plain
,Mangiamo Pizza,40.69909,-73.9147,2019-0605,2019,2.00,$2.00,Plain
,Farmers Pizzeria Inc.,40.70103,-73.76505,2019-0517,2019,2.00,$2.00,Plain
,Margherita Pizza Inc,40.70453082,-73.79679273,2019-0427,2019,4.25,$4.25,Pepperoni
,Farmers Pizza and Grill,40.69088,-73.76194,2019-0425,2019,2.00,$2.00,Plain
,W4 Pizza,40.731687,-74.001115,2019-0423,2019,2.50,$2.50,Pepperoni
,Luna Pizza,40.71350162,-73.99854598,2019-0408,2019,4.00,$4.00,Pepperoni
,Justino's Pizzeria Pizzeria,40.70883,-74.00531,2019-0402,2019,2.75,$2.75,Plain
,Joe's Pizzeria & Restaurant,40.67869,-73.86793,2019-0309,2019,2.50,$2.50,Plain
,Ancona Pizzeria & Heroes,40.66153,-73.69983,2019-0303,2019,3.80,$3.80,Pepperoni
,Hot Fresh Pizza 99c,40.71885,-74.00036,2019-0228,2019,1.00,$1.00,Plain
